Date,Branch,Customer type,Gender,Product line,Unit price,Quantity,Payment,Rating
1/1/2024,Brooklyn,Member,Female,Food & Beverages,84.63,10,Credit card,9
1/1/2024,Queens,Normal,Female,Electronics,63.22,2,Cash,8.5
1/1/2024,Brooklyn,Normal,Female,Electronics,74.71,6,Cash,6.7
1/1/2024,Queens,Member,Female,Sports & Travel,36.98,10,Credit card,7
1/1/2024,Manhattan,Member,Female,Sports & Travel,27.04,4,Ewallet,6.9
1/1/2024,Manhattan,Normal,Female,Fashion & Accs,65.74,9,Cash,7.7
1/1/2024,Manhattan,Member,Male,Home & Lifestyle,47.59,8,Cash,5.7
1/1/2024,Manhattan,Normal,Male,Sports & Travel,72.61,6,Credit card,6.9
1/1/2024,Queens,Normal,Male,Health & Beauty,62.87,2,Cash,5
1/1/2024,Brooklyn,Normal,Male,Food & Beverages,21.12,8,Cash,6.3
1/1/2024,Queens,Member,Female,Sports & Travel,29.22,6,Ewallet,5
1/1/2024,Manhattan,Member,Female,Electronics,74.22,10,Credit card,4.3
1/2/2024,Manhattan,Normal,Male,Sports & Travel,42.47,1,Cash,5.7
1/2/2024,Brooklyn,Member,Male,Fashion & Accs,40.61,9,Cash,7
1/2/2024,Brooklyn,Normal,Male,Sports & Travel,44.63,6,Credit card,5.1
1/2/2024,Manhattan,Member,Male,Food & Beverages,41.66,6,Ewallet,5.6
1/2/2024,Queens,Member,Female,Sports & Travel,31.67,8,Credit card,5.6
1/2/2024,Brooklyn,Normal,Female,Health & Beauty,34.21,10,Cash,5.1
1/2/2024,Brooklyn,Normal,Male,Electronics,22.01,6,Cash,7.6
1/2/2024,Queens,Normal,Male,Fashion & Accs,99.82,2,Credit card,6.7
1/3/2024,Brooklyn,Normal,Female,Home & Lifestyle,63.15,6,Ewallet,9.8
1/3/2024,Queens,Member,Male,Health & Beauty,75.88,1,Credit card,7.1
1/3/2024,Brooklyn,Normal,Male,Sports & Travel,93.38,1,Cash,9.6
1/3/2024,Manhattan,Normal,Male,Health & Beauty,70.01,5,Ewallet,5.5
1/3/2024,Manhattan,Normal,Female,Health & Beauty,23.03,9,Ewallet,7.9
1/3/2024,Queens,Member,Female,Health & Beauty,21.12,2,Cash,9.7
1/3/2024,Manhattan,Normal,Female,Home & Lifestyle,67.09,5,Credit card,9.1
1/3/2024,Brooklyn,Member,Male,Health & Beauty,62,8,Credit card,6.2
1/4/2024,Brooklyn,Normal,Male,Sports & Travel,46.42,3,Credit card,4.4
1/4/2024,Manhattan,Member,Male,Health & Beauty,20.97,5,Cash,7.8
1/4/2024,Queens,Member,Female,Electronics,66.65,9,Credit card,9.7
1/4/2024,Manhattan,Member,Female,Home & Lifestyle,35.54,10,Ewallet,7
1/4/2024,Brooklyn,Member,Female,Fashion & Accs,68.71,4,Cash,4.1
1/4/2024,Brooklyn,Member,Male,Electronics,72.17,1,Cash,6.1
1/5/2024,Queens,Member,Female,Fashion & Accs,31.9,1,Ewallet,9.1
1/5/2024,Queens,Normal,Male,Fashion & Accs,27.38,6,Credit card,7.9
1/5/2024,Brooklyn,Member,Female,Home & Lifestyle,35.38,9,Credit card,9.6
1/5/2024,Queens,Normal,Female,Fashion & Accs,76.06,3,Credit card,9.8
1/5/2024,Manhattan,Member,Female,Health & Beauty,74.69,7,Ewallet,9.1
1/5/2024,Brooklyn,Normal,Female,Food & Beverages,71.2,1,Credit card,9.2
1/5/2024,Manhattan,Member,Male,Home & Lifestyle,70.74,4,Credit card,4.4
1/5/2024,Manhattan,Normal,Female,Electronics,93.88,7,Credit card,7.3
1/5/2024,Queens,Normal,Female,Health & Beauty,78.89,7,Ewallet,7.5
1/5/2024,Brooklyn,Member,Female,Fashion & Accs,73.96,1,Credit card,5
1/5/2024,Manhattan,Member,Male,Home & Lifestyle,62.65,4,Cash,4.2
1/5/2024,Manhattan,Normal,Female,Home & Lifestyle,42.91,5,Ewallet,6.1
1/6/2024,Brooklyn,Normal,Male,Home & Lifestyle,62.19,4,Ewallet,4.3
1/6/2024,Queens,Normal,Male,Food & Beverages,89.48,10,Credit card,9.6
1/6/2024,Manhattan,Normal,Female,Sports & Travel,15.34,1,Cash,6.5
1/6/2024,Brooklyn,Member,Male,Health & Beauty,80.47,9,Cash,9.2
1/6/2024,Manhattan,Member,Male,Home & Lifestyle,58.9,8,Cash,8.9
1/6/2024,Queens,Normal,Female,Fashion & Accs,81.68,4,Cash,9.1
1/6/2024,Manhattan,Normal,Female,Food & Beverages,40.94,5,Ewallet,9.9
1/6/2024,Manhattan,Normal,Male,Sports & Travel,64.59,4,Ewallet,9.3
1/6/2024,Manhattan,Normal,Female,Fashion & Accs,42.57,7,Cash,6.8
1/7/2024,Brooklyn,Normal,Male,Fashion & Accs,47.97,7,Cash,6.2
1/7/2024,Queens,Member,Female,Home & Lifestyle,21.82,10,Cash,7.1
1/7/2024,Queens,Normal,Male,Food & Beverages,27.22,3,Cash,7.3
1/7/2024,Queens,Member,Female,Sports & Travel,68.12,1,Ewallet,6.8
1/7/2024,Manhattan,Member,Male,Electronics,77.72,4,Credit card,8.8
1/7/2024,Manhattan,Member,Female,Home & Lifestyle,21.54,9,Credit card,8.8
1/7/2024,Brooklyn,Member,Female,Fashion & Accs,97.61,6,Ewallet,9.9
1/7/2024,Manhattan,Normal,Male,Sports & Travel,60.95,9,Credit card,6
1/7/2024,Brooklyn,Member,Female,Food & Beverages,89.14,4,Credit card,7.8
1/8/2024,Queens,Member,Female,Fashion & Accs,51.89,7,Cash,4.5
1/8/2024,Brooklyn,Member,Female,Food & Beverages,33.21,10,Ewallet,6
1/8/2024,Queens,Normal,Female,Fashion & Accs,31.73,9,Credit card,5.9
1/8/2024,Brooklyn,Member,Female,Home & Lifestyle,49.1,2,Credit card,6.4
1/8/2024,Queens,Normal,Female,Home & Lifestyle,45.38,4,Credit card,8.7
1/8/2024,Queens,Member,Male,Home & Lifestyle,55.57,3,Credit card,5.9
1/8/2024,Queens,Member,Female,Food & Beverages,68.54,8,Ewallet,8.5
1/8/2024,Brooklyn,Member,Male,Fashion & Accs,65.23,10,Credit card,5.2
1/8/2024,Queens,Normal,Male,Fashion & Accs,12.78,1,Ewallet,9.5
1/8/2024,Brooklyn,Member,Female,Food & Beverages,74.6,10,Cash,9.5
1/8/2024,Brooklyn,Member,Female,Sports & Travel,64.83,2,Credit card,8
1/8/2024,Manhattan,Normal,Male,Sports & Travel,37.14,5,Ewallet,5
1/8/2024,Manhattan,Normal,Female,Electronics,50.23,4,Cash,9
1/8/2024,Manhattan,Member,Male,Sports & Travel,12.76,2,Ewallet,7.8
1/8/2024,Manhattan,Member,Female,Electronics,79.59,3,Cash,6.6
1/8/2024,Brooklyn,Member,Female,Sports & Travel,48.5,3,Cash,6.7
1/8/2024,Queens,Member,Male,Food & Beverages,24.31,3,Credit card,4.3
1/8/2024,Queens,Member,Female,Food & Beverages,72.88,9,Cash,4
1/9/2024,Brooklyn,Member,Female,Sports & Travel,11.85,8,Cash,4.1
1/9/2024,Queens,Normal,Male,Electronics,96.37,7,Cash,6
1/9/2024,Queens,Normal,Female,Fashion & Accs,49.32,6,Ewallet,7.1
1/9/2024,Brooklyn,Member,Female,Home & Lifestyle,21.9,3,Ewallet,4.7
1/9/2024,Manhattan,Member,Male,Fashion & Accs,38.54,5,Ewallet,5.6
1/9/2024,Queens,Member,Male,Fashion & Accs,49.04,9,Credit card,8.6
1/9/2024,Queens,Normal,Female,Home & Lifestyle,15.8,10,Cash,7.8
1/9/2024,Queens,Normal,Female,Sports & Travel,95.44,10,Cash,5.2
1/10/2024,Brooklyn,Normal,Female,Fashion & Accs,79.86,7,Credit card,5.5
1/10/2024,Queens,Member,Male,Electronics,74.79,5,Cash,4.9
1/10/2024,Manhattan,Member,Female,Health & Beauty,36.26,2,Credit card,7.2
1/10/2024,Brooklyn,Normal,Female,Electronics,13.78,4,Ewallet,9
1/10/2024,Queens,Member,Male,Food & Beverages,50.49,9,Cash,5.4
1/10/2024,Manhattan,Member,Male,Home & Lifestyle,78.38,6,Ewallet,5.8
1/10/2024,Manhattan,Member,Female,Sports & Travel,21.98,7,Ewallet,5.1
1/10/2024,Queens,Normal,Female,Sports & Travel,83.14,7,Credit card,6.6
1/10/2024,Brooklyn,Normal,Male,Sports & Travel,83.78,8,Cash,5.1
1/11/2024,Manhattan,Normal,Male,Food & Beverages,24.94,9,Credit card,5.6
1/11/2024,Manhattan,Normal,Male,Fashion & Accs,89.69,1,Ewallet,4.9
1/11/2024,Queens,Member,Female,Food & Beverages,36.77,7,Cash,7.4
1/11/2024,Manhattan,Member,Male,Sports & Travel,82.33,4,Credit card,7.5
1/11/2024,Queens,Member,Female,Sports & Travel,87.16,2,Credit card,9.7
1/11/2024,Manhattan,Member,Male,Food & Beverages,48.5,6,Ewallet,9.4
1/11/2024,Manhattan,Normal,Female,Home & Lifestyle,96.52,6,Cash,4.5
1/11/2024,Manhattan,Normal,Male,Food & Beverages,13.79,5,Credit card,7.8
1/12/2024,Queens,Member,Male,Sports & Travel,57.12,7,Credit card,6.5
1/12/2024,Brooklyn,Normal,Female,Health & Beauty,57.22,2,Ewallet,8.3
1/12/2024,Brooklyn,Member,Male,Electronics,91.56,8,Ewallet,6
1/12/2024,Brooklyn,Member,Female,Health & Beauty,27.07,1,Credit card,5.3
1/12/2024,Brooklyn,Normal,Female,Fashion & Accs,83.25,10,Credit card,4.4
1/12/2024,Manhattan,Member,Male,Electronics,88.67,10,Ewallet,7.3
1/12/2024,Manhattan,Normal,Female,Fashion & Accs,29.42,10,Ewallet,8.9
1/12/2024,Manhattan,Member,Female,Fashion & Accs,20.01,9,Credit card,5.7
1/12/2024,Brooklyn,Normal,Male,Sports & Travel,23.01,6,Ewallet,7.9
1/12/2024,Queens,Normal,Male,Home & Lifestyle,97.5,10,Ewallet,8
1/12/2024,Brooklyn,Normal,Female,Home & Lifestyle,51.07,7,Cash,7
1/13/2024,Brooklyn,Member,Male,Sports & Travel,72.6,6,Cash,6.9
1/13/2024,Manhattan,Member,Male,Home & Lifestyle,81.01,3,Credit card,9.3
1/13/2024,Queens,Member,Female,Fashion & Accs,74.29,1,Cash,5
1/13/2024,Manhattan,Normal,Female,Electronics,23.46,6,Ewallet,6.4
1/13/2024,Manhattan,Member,Female,Health & Beauty,39.62,9,Credit card,6.8
1/13/2024,Queens,Member,Female,Food & Beverages,21.04,4,Cash,7.6
1/13/2024,Brooklyn,Member,Male,Fashion & Accs,59.86,2,Ewallet,6.7
1/13/2024,Brooklyn,Normal,Male,Food & Beverages,72.39,2,Credit card,8.1
1/13/2024,Manhattan,Normal,Male,Sports & Travel,45.58,7,Cash,5
1/13/2024,Queens,Normal,Female,Electronics,41.65,10,Credit card,5.4
1/14/2024,Queens,Member,Male,Health & Beauty,60.47,3,Credit card,5.6
1/14/2024,Brooklyn,Normal,Female,Sports & Travel,34.81,1,Credit card,7
1/14/2024,Brooklyn,Member,Female,Fashion & Accs,18.08,4,Credit card,9.5
1/14/2024,Manhattan,Member,Female,Fashion & Accs,96.7,5,Ewallet,7
1/14/2024,Brooklyn,Normal,Female,Food & Beverages,99.69,5,Cash,9.9
1/14/2024,Brooklyn,Normal,Female,Health & Beauty,17.75,1,Cash,8.6
1/14/2024,Queens,Normal,Male,Food & Beverages,84.83,1,Ewallet,8.8
1/14/2024,Queens,Normal,Male,Health & Beauty,53.19,7,Ewallet,5
1/14/2024,Brooklyn,Normal,Male,Food & Beverages,73.06,7,Credit card,4.2
1/14/2024,Queens,Normal,Male,Food & Beverages,31.77,4,Ewallet,6.2
1/14/2024,Queens,Member,Female,Electronics,44.84,9,Credit card,7.5
1/14/2024,Manhattan,Member,Male,Fashion & Accs,56.04,10,Ewallet,4.4
1/14/2024,Queens,Normal,Male,Electronics,61.41,7,Cash,9.8
1/15/2024,Manhattan,Member,Female,Home & Lifestyle,89.21,9,Credit card,6.5
1/15/2024,Brooklyn,Normal,Male,Electronics,75.66,5,Ewallet,7.8
1/15/2024,Brooklyn,Normal,Female,Home & Lifestyle,97.37,10,Credit card,4.9
1/15/2024,Manhattan,Normal,Female,Sports & Travel,19.1,7,Cash,9.7
1/15/2024,Manhattan,Member,Male,Food & Beverages,83.77,2,Credit card,7
1/15/2024,Queens,Normal,Male,Electronics,55.87,10,Cash,5.8
1/15/2024,Brooklyn,Member,Male,Health & Beauty,66.47,10,Credit card,5
1/15/2024,Brooklyn,Member,Female,Sports & Travel,93.72,6,Cash,4.5
1/15/2024,Manhattan,Normal,Female,Home & Lifestyle,11.43,6,Cash,7.7
1/15/2024,Brooklyn,Normal,Female,Fashion & Accs,73.52,2,Ewallet,4.6
1/15/2024,Queens,Member,Male,Health & Beauty,81.23,7,Cash,9
1/15/2024,Queens,Member,Male,Food & Beverages,17.44,5,Cash,8.1
1/15/2024,Manhattan,Normal,Female,Electronics,60.88,9,Ewallet,4.7
1/16/2024,Queens,Normal,Male,Home & Lifestyle,95.58,10,Cash,4.8
1/16/2024,Brooklyn,Member,Female,Sports & Travel,90.74,7,Credit card,6.2
1/16/2024,Queens,Normal,Female,Food & Beverages,93.26,9,Cash,8.8
1/16/2024,Queens,Member,Male,Sports & Travel,17.14,7,Credit card,7.9
1/16/2024,Brooklyn,Normal,Male,Fashion & Accs,39.21,4,Credit card,9
1/16/2024,Manhattan,Member,Male,Home & Lifestyle,63.56,10,Cash,4.3
1/16/2024,Queens,Member,Female,Sports & Travel,15.49,2,Cash,6.3
1/16/2024,Brooklyn,Member,Male,Fashion & Accs,51.36,1,Ewallet,5.2
1/16/2024,Manhattan,Normal,Female,Sports & Travel,93.18,2,Credit card,8.5
1/16/2024,Queens,Normal,Female,Food & Beverages,52.6,9,Cash,7.6
1/17/2024,Brooklyn,Normal,Female,Sports & Travel,40.62,2,Credit card,4.1
1/17/2024,Manhattan,Normal,Female,Food & Beverages,81.21,10,Credit card,6.3
1/17/2024,Brooklyn,Member,Male,Food & Beverages,57.89,2,Ewallet,8.9
1/17/2024,Manhattan,Normal,Male,Home & Lifestyle,21.52,6,Credit card,9.4
1/17/2024,Brooklyn,Member,Female,Home & Lifestyle,94.59,7,Credit card,4.9
1/17/2024,Queens,Member,Female,Health & Beauty,62.82,2,Ewallet,4.9
1/17/2024,Queens,Member,Male,Food & Beverages,65.65,2,Cash,6
1/17/2024,Queens,Member,Male,Sports & Travel,71.92,5,Credit card,4.3
1/17/2024,Manhattan,Normal,Male,Sports & Travel,25.7,3,Ewallet,6.1
1/17/2024,Brooklyn,Member,Female,Home & Lifestyle,86.72,1,Ewallet,7.9
1/17/2024,Manhattan,Normal,Male,Sports & Travel,58.91,7,Ewallet,9.7
1/18/2024,Manhattan,Member,Female,Fashion & Accs,88.15,3,Ewallet,7.9
1/18/2024,Queens,Normal,Female,Health & Beauty,39.42,1,Cash,8.4
1/18/2024,Manhattan,Normal,Female,Electronics,26.31,5,Credit card,8.8
1/18/2024,Queens,Normal,Male,Fashion & Accs,60.74,7,Ewallet,5
1/18/2024,Brooklyn,Normal,Male,Food & Beverages,19.79,8,Ewallet,8.7
1/18/2024,Manhattan,Member,Male,Home & Lifestyle,19.36,9,Ewallet,8.7
1/18/2024,Manhattan,Member,Male,Sports & Travel,89.06,6,Cash,9.9
1/18/2024,Queens,Member,Female,Sports & Travel,90.63,9,Cash,5.1
1/18/2024,Brooklyn,Member,Female,Fashion & Accs,17.48,6,Credit card,6.1
1/19/2024,Brooklyn,Member,Female,Electronics,12.1,8,Ewallet,8.6
1/19/2024,Queens,Member,Male,Sports & Travel,80.93,1,Credit card,9
1/19/2024,Manhattan,Normal,Female,Fashion & Accs,99.1,6,Cash,4.2
1/19/2024,Brooklyn,Normal,Male,Sports & Travel,63.06,3,Ewallet,7
1/19/2024,Manhattan,Normal,Male,Sports & Travel,64.19,10,Credit card,6.7
1/19/2024,Manhattan,Normal,Female,Home & Lifestyle,45.68,10,Ewallet,5.7
1/19/2024,Queens,Member,Male,Food & Beverages,59.59,4,Cash,9.8
1/19/2024,Manhattan,Member,Male,Electronics,11.94,3,Credit card,8.1
1/19/2024,Queens,Normal,Female,Electronics,56.13,4,Ewallet,8.6
1/19/2024,Queens,Normal,Female,Food & Beverages,43.18,8,Credit card,8.3
1/19/2024,Brooklyn,Member,Male,Electronics,52.89,6,Credit card,9.8
1/19/2024,Manhattan,Normal,Male,Food & Beverages,33.88,8,Ewallet,9.6
1/19/2024,Manhattan,Member,Male,Sports & Travel,67.26,4,Credit card,8
1/19/2024,Queens,Member,Female,Home & Lifestyle,88.61,1,Cash,7.7
1/19/2024,Manhattan,Member,Male,Home & Lifestyle,58.07,9,Ewallet,4.3
1/19/2024,Manhattan,Normal,Male,Food & Beverages,51.28,6,Cash,6.5
1/20/2024,Queens,Member,Male,Sports & Travel,82.93,4,Ewallet,9.6
1/20/2024,Manhattan,Member,Male,Health & Beauty,55.5,4,Credit card,6.6
1/20/2024,Manhattan,Normal,Female,Sports & Travel,93.14,2,Ewallet,4.1
1/20/2024,Brooklyn,Normal,Male,Home & Lifestyle,53.44,2,Ewallet,4.1
1/20/2024,Brooklyn,Normal,Male,Home & Lifestyle,37.48,3,Credit card,7.7
1/20/2024,Queens,Normal,Male,Fashion & Accs,15.62,8,Ewallet,9.1
1/20/2024,Manhattan,Member,Female,Home & Lifestyle,72.35,10,Cash,5.4
1/20/2024,Queens,Normal,Male,Health & Beauty,64.08,7,Ewallet,7.6
1/20/2024,Manhattan,Member,Female,Fashion & Accs,63.88,8,Ewallet,9.9
1/20/2024,Queens,Member,Female,Home & Lifestyle,89.25,8,Cash,4.7
1/21/2024,Manhattan,Normal,Male,Home & Lifestyle,73.22,6,Cash,7.2
1/21/2024,Queens,Normal,Female,Health & Beauty,99.19,6,Credit card,5.5
1/21/2024,Manhattan,Member,Male,Health & Beauty,53.17,7,Cash,8.9
1/21/2024,Brooklyn,Member,Female,Sports & Travel,98.13,1,Cash,8.9
1/21/2024,Manhattan,Member,Female,Food & Beverages,36.36,2,Cash,7.1
1/21/2024,Manhattan,Normal,Female,Home & Lifestyle,77.95,6,Ewallet,8
1/21/2024,Queens,Member,Male,Food & Beverages,68.98,1,Cash,4.8
1/21/2024,Manhattan,Normal,Male,Food & Beverages,54.67,3,Credit card,8.6
1/22/2024,Queens,Normal,Female,Health & Beauty,20.38,5,Cash,6
